,MAE,MSE,RMSE,R2,CV R2 Mean,CV R2 Std
Linear Regression,970043.4039201646,1754318687330.6692,1324506.9600914407,0.6529242642153174,0.6470401792343207,0.036657627154168274
Random Forest,1025961.1683486238,1971006449235.8137,1403925.371676078,0.610054593532394,0.6004833243203397,0.031108813589744568
